"id","composition","proportion","name","location","mass","year"
"1142","Caffeine "," 100","Butterfly","New York, NY","218",2003
"1142","Methamphetamine "," 10","Butterfly","New York, NY","218",2003
"1142","MDMA "," 1","Butterfly","New York, NY","218",2003
"1141","Caffeine "," 4","Daisy","Seattle, WA","330",2003
"1141","MDMA "," 1","Daisy","Seattle, WA","330",2003
"1140","MDMA "," 2","Martian","Arlington, TX","200",2003
"1140","Methamphetamine "," 1","Martian","Arlington, TX","200",2003
"1139","Aspirin "," 10","Motorola","New York, NY","270",2003
"1139","Heroin "," 3","Motorola","New York, NY","270",2003
"1139","Fluoxetine "," 1","Motorola","New York, NY","270",2003
"1138","MDMA "," 1","Fish","Dallas, TX","207",2003
"1137","Aspirin "," 3","Smiley","Seattle, WA","328",2003
"1137","Vitamin E "," 1","Smiley","Seattle, WA","328",2003
"1136","MDMA "," 3","V8","Houston, TX","154",2003
"1136","Caffeine "," 1","V8","Houston, TX","154",2003
"1135","Caffeine "," 20","Footprint","Houston, TX","221",2003
"1135","Methamphetamine "," 5","Footprint","Houston, TX","221",2003
"1135","MDMA "," 1","Footprint","Houston, TX","221",2003
"1134","None Detected "," 1","Omega","Los Angeles, CA","427",2003
"1133","Cocaine "," 1","Z. Cavaricci","Chicago, IL","347",2003
"1132","MDMA "," 1","Lightning Bolt","Los Angeles, CA","167",2003
"1131","MDMA "," 1","Euro","Los Angeles, CA","366",2003
"1130","MDA "," 1","Plain Tablet","Stowe, VT","132",2003
"1129","Methamphetamine "," 4","Love","West Palm Beach, FL","190",2003
"1129","Unidentified "," 1","Love","West Palm Beach, FL","190",2003
"1128","Diphenhydramine "," 10","Split","Randolf, VT","309",2003
"1128","DXM "," 3","Split","Randolf, VT","309",2003
"1128","Pseudo/Ephedrine "," 1","Split","Randolf, VT","309",2003
"1127","MDMA "," 1","Euro","Los Angeles, CA","147",2003
"1126","MDMA "," 1","Sheild","Apopka, FL","149",2003
"1125","Methamphetamine "," 4","Love","West Palm Beach, FL","222",2003
"1125","Unidentified "," 1","Love","West Palm Beach, FL","222",2003
"1124","Methamphetamine "," 4","Love","Denver, CO","155",2003
"1124","Unidentified "," 1","Love","Denver, CO","155",2003
"1123","MDMA "," 1","Peace","Denver, CO","129",2003
"1122","MDMA "," 1","A","Los Angeles, CA","222",2003
"1121","MDMA "," 1","8 1/2","Boston, MA","288",2003
"1120","MDMA "," 1","Club","Boston, MA","145",2003
"1119","DXM "," 1","Triangle","Los Angeles, CA","257",2003
"1118","MDA "," 1","D & G","San Francisco, CA","200",2003
"1117","MDMA "," 1","Versace","Los Angeles, CA","300",2003
"1116","MDMA "," 1","Recycle","San Francisco, CA","168",2003
"1115","MDMA "," 1","Dragon","New York, NY","145",2003
"1114","Caffeine "," 10","Spade","Chicago, IL","337",2003
"1114","MDMA "," 2","Spade","Chicago, IL","337",2003
"1114","Methamphetamine "," 1","Spade","Chicago, IL","337",2003
"1113","MDMA "," 1","2000","Buffalo, NY","247",2003
"1112","MDA "," 1","Omega","New York, NY","261",2003
"1111","Methandrostenolone "," 20","Triangle","Colorado Springs, CO","121",2003
"1111","DXM "," 1","Triangle","Colorado Springs, CO","121",2003
"1110","Methandrostenolone "," 20","Plain Tablet","Colorado Springs, CO","116",2003
"1110","DXM "," 1","Plain Tablet","Colorado Springs, CO","116",2003
"1109","Methandrostenolone "," 20","Pentagon","Colorado Springs, CO","114",2003
"1108","MDMA "," 1","Mortal Kombat","Orlando, FL","143",2003
"1107","DXM "," 1","Alligator","Atlanta, GA","167",2003
"1106","DXM "," 4","Question Mark","Davis, CA","1",2003
"1106","BZP "," 1","Question Mark","Davis, CA","1",2003
"1106","TFMPP "," 1","Question Mark","Davis, CA","1",2003
"1105","MDMA "," 1","Mercedes","Tuscon, AZ","216",2003
"1104","DXM "," 1","Pokemon","Chicago, IL","365",2003
"1103","Caffeine "," 20","Stickman","Buffalo, NY","215",2003
"1103","MDMA "," 1","Stickman","Buffalo, NY","215",2003
"1102","MDMA "," 1","Plain Tablet","Greenville, MS","354",2003
"1101","Caffeine "," 1","Alligator","Greenville, MS","295",2003
"1100","MDMA "," 1","Dollar Sign","Miami, FL","149",2003
"1099","DXM "," 20","X-men","Charlotte, NC","142",2003
"1099","Guaifenesin "," 2","X-men","Charlotte, NC","142",2003
"1099","Pseudo/Ephedrine "," 1","X-men","Charlotte, NC","142",2003
"1098","Caffeine "," 10","Dolphin","Bellvue, WA","317",2003
"1098","MDA "," 5","Dolphin","Bellvue, WA","317",2003
"1098","Pseudo/Ephedrine "," 1","Dolphin","Bellvue, WA","317",2003
"1097","Caffeine "," 1","No Doz","Minneapolis, MN","231",2003
"1096","MDMA "," 20","Peace","West Palm Beach, FL","139",2003
"1096","MDE "," 1","Peace","West Palm Beach, FL","139",2003
"1095","MDA "," 1","Flower","Brooklyn, NY","301",2003
"1094","Caffeine "," 10","Line Man","Los Vegas, NV","252",2003
"1094","MDMA "," 5","Line Man","Los Vegas, NV","252",2003
"1094","Methamphetamine "," 1","Line Man","Los Vegas, NV","252",2003
"1093","Ketamine "," 10","Plain Tablet","Commerce, CA","310",2003
"1093","Unidentified "," 2","Plain Tablet","Commerce, CA","310",2003
"1093","Caffeine "," 1","Plain Tablet","Commerce, CA","310",2003
"1092","Caffeine "," 100","Dolphin","Akima, WA","317",2003
"1092","MDA "," 10","Dolphin","Akima, WA","317",2003
"1092","Pseudo/Ephedrine "," 1","Dolphin","Akima, WA","317",2003
"1091","Caffeine "," 1","Butterfly","New York, NY","217",2003
"1090","None Detected "," 1","Plain Tablet","Philadelphia, PA","215",2003
"1089","Caffeine "," 1","Lexus","Hamilton, NJ","241",2003
"1088","Caffeine "," 20","Medusa","Los Angeles, CA","308",2003
"1088","MDMA "," 1","Medusa","Los Angeles, CA","308",2003
"1658","MDMA "," 55 mg","Dollar Sign","Oklahoma City, OK","262",2004
"1659","Cocaine "," 20 mg","Sunflower","New York, NY","-",2004
"1659","Acetaminophen  ","","Sunflower","New York, NY","-",2004
"1659","Caffeine  ","","Sunflower","New York, NY","-",2004
"1661","MDMA "," 52 mg","Volkswagon","Amsterdam, 
Netherlands","131",2004
"1662","Cocaine  ","","Dollar Sign","Orange County, FL","-",2004
"1662","Pseudo/Ephedrine  ","","Dollar Sign","Orange County, FL","-",2004
"1663","MDA  ","","777","Orange County, FL","-",2004
"1663","Methamphetamine  ","","777","Orange County, FL","-",2004
"1664","Aspirin  ","","Star of David","Unknown, FL","-",2004
"1664","Caffeine  ","","Star of David","Unknown, FL","-",2004
"1664","Cocaine  ","","Star of David","Unknown, FL","-",2004
"1665","MDA "," 77 mg","Dove","Vancouver, 
Canada","280",2004
"1666","Lidocaine  ","","3","Milcreek Township, PA","-",2004
"1666","Methamphetamine  ","","3","Milcreek Township, PA","-",2004
"1392","Not Tested  ","","Dove","St. Louis, MO","-",2004
"1391","Not Tested  ","","Apple","Boston, MA","-",2004
"1390","MDA "," 1","Triangle","Phoenix, AZ","185",2004
"1389","MDMA "," 4","Maple Leaf","Tampa, FL","197",2004
"1389","MDA "," 1","Maple Leaf","Tampa, FL","197",2004
"1388","MDMA "," 4","Clubs","Miami, FL","141",2004
"1388","MDA "," 1","Clubs","Miami, FL","141",2004
"1387","MDA "," 1","Clover","Miami, FL","221",2004
"1387","MDMA "," 1","Clover","Miami, FL","221",2004
"1386","MDA "," 1","The One","Miami, FL","184",2004
"1385","Not Tested  ","","Heart","Lakeland, FL","-",2004
"1384","Not Tested  ","","Safeway","Los Angeles, CA","-",2004
"1383","MDMA "," 10","Dolphin","San Francisco, CA","249",2004
"1383","MDE "," 1","Dolphin","San Francisco, CA","249",2004
"1382","MDMA "," 10","Dolphin","Austin, TX","230",2004
"1382","MDE "," 1","Dolphin","Austin, TX","230",2004
"1381","Caffeine "," 10","Lady","Unknown, Unknown","308",2004
"1381","MDA "," 1","Lady","Unknown, Unknown","308",2004
"1380","MDMA "," 10","Plain Tablet","Santa Cruz, CA","150",2004
"1380","MDE "," 1","Plain Tablet","Santa Cruz, CA","150",2004
"1379","MDA "," 1","Superman","West Palm Beach, FL","309",2004
"1378","MDA "," 1","Yin Yang","West Palm Beach, FL","350",2004
"1377","DXM "," 1","Smiley","Miami Beach, FL","202",2004
"1376","Not Tested  ","","Unknown","Apache Junction, AZ","-",2004
"1375","Caffeine "," 20","Lady","Nashville, TN","330",2004
